Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Kondapalli Toys,15 – 25 Hours,"₹1,200 – ₹3,500","Carved from Tella Poniki (softwood) and hand-painted. Prices vary by set size (e.g., a ""Marriage Set"" vs. a single figurine)."
Uppada Silk Saree,150 – 400 Hours,"₹15,000 – ₹1,20,000",Uses the Jamdani weaving technique. A bridal saree with pure zari can take up to 2 months of non-stop hand-weaving.
Temple Jewellery,40 – 120 Hours,"₹18,000 – ₹85,000",Hand-crafted silver with 24k gold leaf plating (Kemp work). Complex bridal sets require weeks of intricate metalwork.
Kalamkari Textile,60 – 80 Hours,"₹3,500 – ₹15,000",Srikalahasti style involves 23 steps of natural dyeing and hand-painting with a bamboo pen (kalam) on cotton or silk.
Etikoppaka Toys,8 – 12 Hours,"₹400 – ₹2,500",Made from Ankudu wood and finished on a lathe with natural lacquer made from seeds and tree resins.
Folk Scrolls (Cheriyal),40 – 100 Hours,"₹8,000 – ₹45,000",Hand-ground natural pigments on khadi canvas. A full narrative scroll depicting an epic can take several weeks.
Arunachal Pradesh,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Bamboo Furniture,40 – 60 Hours,"₹8,500 – ₹15,000","Includes deep-forest harvesting and ""curing"" (smoking/soaking) to make it termite-proof and water-strong."
Tribal Wrap (Gale),120 – 180 Hours,"₹4,500 – ₹8,000","Woven on a ""Loin Loom"" (Backstrap loom). Each tribal motif is a ""secret code"" passed down through memory."
Wancho Bead Jewelry,12 – 24 Hours,"₹2,100 – ₹3,500","Recently GI-tagged. Authentic pieces use specific color codes (red, blue, orange) to signify bravery and status."
Handwoven Textile,150 – 250 Hours,"₹5,000 – ₹12,000",These are high-density weaves. Some ceremonial shawls take nearly 2 months of part-time weaving to complete.
Wooden Masks,50 – 80 Hours,"₹5,500 – ₹10,000","Carved from Puma or Zokhu wood. Includes multiple layers of natural paint and manual chiseling for ""life-like"" detail."
Traditional Baskets,30 – 45 Hours,"₹2,800 – ₹4,500",Woven with double-layered cane. The weave is so tight it creates surface tension that can briefly hold water.
,,,
Assam,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Jaapi Hat (Fulam),12 – 18 Hours,"₹1,800","Hand-knit from Tokou (palm) leaves and bamboo. Decorative versions (Fulam) require intricate velvet, wool, and sequin work."
Muga Silk Saree,150 – 200 Hours,"₹45,000 – ₹90,000",Exclusive to Assam. Price includes 2+ months of rearing rare golden silkworms. Hand-weaving a full saree takes 15–20 focused days.
Bamboo Jewellery,4 – 8 Hours,"₹1,200 (Set)","Artisans must select 3-year-old ""mature"" bamboo, boil it to prevent cracks, and hand-carve it into lightweight, durable motifs."
Mekhela Chador,60 – 100 Hours,"₹12,500 – ₹25,000","A two-piece set (skirt and wrap). Hand-weaving authentic motifs on a Taat Xaal (pit loom) is labor-intensive; sunlight ""shining through"" refers to the high thread count."
Majuli Masks,40 – 120 Hours,"₹8,500 (Medium)","Made using a bamboo frame, clay, and cow dung layers. Each mask must dry naturally between coats before being painted with organic pigments."
Bell Metal Crafts,24 – 40 Hours,"₹2,800 (per kg)",Made by Sarthebari artisans using an alloy of copper and tin. It involves manual hammering and heating—never machine-cast.
Bihar,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Madhubani Painting,30 – 120 Hours,"₹6,500 – ₹25,000","Painted with twigs and nibs using natural dyes (cow dung base, rice paste). Prices soar for ""Kachni"" (fine line) work vs ""Bharni"" (filled colors)."
Tussar Silk Saree,120 – 180 Hours,"₹8,500 – ₹35,000","Sourced from wild silkworms in Bhagalpur. Includes boiling, hand-spinning, and hand-weaving. Real ""Peace Silk"" (non-violent) carries a premium."
Sikki Grass Crafts,10 – 40 Hours,"₹1,500 – ₹6,000",Golden grass found in marshes is harvested and dyed. Boxes and dolls are woven so tightly they become sturdy structural items that last decades.
Lac Bangles,4 – 10 Hours,"₹450 – ₹1,200 (Set)","Muzaffarpur is the hub. Natural resin is heated on a furnace, colored with stone dyes, and hand-molded. Intricate ""Kundan"" inlay sets are pricier."
Manjusha Art,20 – 60 Hours,"₹3,500 – ₹12,000","One of the world’s oldest scroll arts using only three colors (pink, green, yellow). Often painted on Jute/Silk boxes or handmade paper."
Mud Clay Toys,6 – 12 Hours,"₹350 – ₹1,500","Unlike kiln-fired terracotta, these ""Mitti"" toys are often sun-dried and painted with organic colors, safe for children and eco-friendly."
Chhattisgarh,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Dhokra Metal Craft,40 – 72 Hours,"₹5,500 (10-12"" Figurine)","Uses the lost-wax technique. Since the clay mold must be broken to reveal the metal, every piece is a unique original that can never be replicated exactly."
Kosa Silk Saree,120 – 180 Hours,"₹16,500 – ₹25,000",Sourced from wild silkworms (Antheraea mylitta). The price reflects the rarity of the cocoons and the 10–15 days of painstaking hand-weaving on pit looms.
Wooden Tribal Masks,30 – 50 Hours,"₹4,800 – ₹8,500","Carved from Teak or Shisham. Artisans use manual chisels to bring ""life"" to the wood, depicting gods and spirits with details that machine-carving cannot mimic."
Wrought Iron Craft,12 – 20 Hours,"₹1,800 – ₹3,500","Known as Loha Shilp. Blacksmiths from the Agaria community manually heat and beat scrap iron into slender, elegant tribal forms without using any joints or welding."
Bamboo Utility Items,15 – 30 Hours,"₹800 – ₹2,200","Includes harvesting ""mature"" bamboo and hand-splitting it into thin strips. The ""precision"" comes from the tight weave used in traditional winnowing fans and baskets."
Terracotta Jewellery,10 – 15 Hours,"₹500 – ₹1,500 (Set)","Each bead is hand-rolled from fine clay, etched with a needle, sun-dried, kiln-fired, and then hand-painted with earthy natural pigments."
,,,
Goa,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Coconut Shell Crafts,6 – 10 Hours,"₹850 – ₹2,500","Involves removing fiber, sanding to a mirror finish, and seasoning with oils. Complex lamps with ""Jaali"" (perforated) work take more time."
Kunbi Saree,40 – 60 Hours,"₹3,250 – ₹4,800",A traditional cotton weave with red/white checks. A skilled weaver takes about 5 days to complete one saree on a handloom.
Shell Jewellery,4 – 12 Hours,"₹500 – ₹1,800","Sourcing authentic local shells, cleaning, polishing, and delicate drilling/stringing. Price varies by the rarity of the shells used."
Azulejos Tile Art,5 – 15 Hours,"₹270 – ₹3,500","Hand-painted on ceramic and baked. Small 6x6 tiles are affordable, but large custom nameplates or Mario Miranda murals are premium."
Wooden Christian Icons,20 – 50 Hours,"₹3,500 – ₹12,000","Carved from seasoned wood (often Teak). Each figure is hand-chiseled and painted, reflecting the unique Goan-Baroque aesthetic."
Handcrafted Lamps,15 – 30 Hours,"₹2,500 – ₹7,500",Made from brass or copper. Involves manual metal beating and intricate cut-work designs that cast geometric shadows.
,,,
Gujarat,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Patan Patola Saree,"1,500 – 3,000 Hours","₹1,50,000 – ₹7,00,000","A ""Double Ikat"" masterpiece. Both warp and weft are dyed before weaving. Complex designs can take up to 2 years. It is an heirloom investment."
Bandhani Textile,40 – 120 Hours,"₹5,000 – ₹45,000","Price depends on the number of ""Bundi"" (knots). A high-end Jhankaar or Gharchola with 10,000+ tiny hand-tied knots justifies the premium."
Kutch Embroidery,60 – 200 Hours,"₹4,500 – ₹45,000","Includes various styles (Ahir, Mutwa, Rabari). Pricing is based on the density of silk thread work and real glass mirror integration."
